binary,log_path,io_rw,io_meta,net_total,net_ipv4,net_ipv6,net_unix,mem_mgmt,process_create,execve,priv_ctrl,errno_total,errno_perm,errno_enoent,touch_sensitive,w_x_transition,uses_unlink,duration,rate_cps,err_rate,net_ratio
dpkg.strace,strace_logs/dpkg.strace.log,18.0,40.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.021348953247070312,4169.822657017779,0.0,0.0
du.strace,strace_logs/du.strace.log,12.0,191.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05336594581604004,4142.217711418781,0.0,0.0
echo.strace,strace_logs/echo.strace.log,6.0,13.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008797168731689453,4206.898639492655,0.0,0.0
edgepaint.strace,strace_logs/edgepaint.strace.log,10.0,20.0,0.0,0.0,0.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011880874633789062,5640.3154599454165,0.0,0.0
env.strace,strace_logs/env.strace.log,6.0,13.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00937509536743164,3947.6265195056203,0.0,0.0
eqn.strace,strace_logs/eqn.strace.log,12.0,23.0,0.0,0.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016112089157104492,4345.5638437976295,0.0,0.0
errno.strace,strace_logs/errno.strace.log,5.0,10.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.013696908950805664,2410.302720673989,0.0,0.0
expand.strace,strace_logs/expand.strace.log,6.0,14.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008985042572021484,4230.250968529427,0.0,0.0
expiry.strace,strace_logs/expiry.strace.log,12.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.012520790100097656,3914.491050346561,0.0,0.0
expr.strace,strace_logs/expr.strace.log,12.0,22.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02192091941833496,2601.255897675734,0.0,0.0
factor.strace,strace_logs/factor.strace.log,7.0,16.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01059103012084961,4344.298005492774,0.0,0.0
faillog.strace,strace_logs/faillog.strace.log,10.0,24.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.016538143157958984,3145.2465761323992,0.0,0.0
fallocate.strace,strace_logs/fallocate.strace.log,10.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011245965957641602,4180.276389153893,0.0,0.0
false.strace,strace_logs/false.strace.log,5.0,7.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.014921903610229492,1810.4206145046096,0.0,0.0
fc-cache.strace,strace_logs/fc-cache.strace.log,105.0,407.0,0.0,0.0,0.0,0.0,73.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.23250603675842285,2521.3646673865182,0.0,0.0
fc-cat.strace,strace_logs/fc-cat.strace.log,113.0,404.0,0.0,0.0,0.0,0.0,73.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.37772107124328613,1565.646626820941,0.0,0.0
